Building,Floor,Tenant,Occupancy (%),Status,Rent (₹/sqft),Effective Rent,Starting Rent,Lease Expiry Rent,Area (sqft),Carpet Area,Lease Start,Lease End,Lease Expiry Date,Lock-in Period,Lock-in End,Security Deposit (months),Rent Escalation (%),Escalation Period (months),Property Condition,Sector,Deal Type,Landlord,Landlord Contact,Agreement Type,Deal Memo,Monthly Revenue,Annual Revenue,Data Source,Vacancy Reason,Data Conflict,Rent Estimated,Building Grade,Building CAM,Building Escalation,Building Power,Building Parking,Building Efficiency,Building Developer,Building Category,Micro Market
Building 1,1,Tata Consultancy services,100.0,Furnished,57.7,68.0,61.0,80.7,27000,18630,2022-01,2024-12,2030-02,36 months,2024-02,6.0,15.0,36,Fitted Out,IT/ITeS,New,Vatika Limited,Ritu Gupta,Leave and License,Any Additional Car Parking Charges Rs.5000/-Per Car Park Per Month.\n Cam Deposit Mentioned In Other Deposit.\n After Every 36 Months Cam Charges and Cam Deposit Escalated By 15%.,1557900,18694800,CRE,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 1,2,Vacant,0,Vacant,59.1,,,,27000,18630,2022-01,2024-12,2024-11,36 months,2022-11,6.0,15.0,12,Fitted Out,,,Vatika Limited,Satish Kumar,Lease Deed,The Licensee Towards property tax Shall Be Limited To 7.5% Of The Annual Base Rental.Any Excess Tax Liability Over It Shall Be Born By The Licencor.\n CAM Charges Not Given.,0,0,CRE,Lease expired 2024-11 (CRE Matrix),,true,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 1,3,BFL Brandfolio + 2 more,100,Multi-tenant,57.0,51.7,57.0,57.0,27000,18630,2023-08,2028-08,2028-08,-,2026-08,6.0,,12,Fitted Out,Automobiles,New,Vatika Limited,Ritu Gupta,Lease Deed,There will be moratorium period of 3 months i.e. 1st Rent free of 15 days on the10th month,1539000,18468000,CRE,,Sales team CSV marked Vacant — CREMatrix shows active BFL Brandfolio lease expiring 2028-08. Data corrected from CREMatrix.,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 1,4,Ofis Square + 1 more,100.0,Multi-tenant,57.7,51.6,55.0,61.9,27000,18630,2022-01,2024-12,2028-02,36 months,2028-02,6.0,,13,Fitted Out,Co-Working,New,Multiple (2 owners),Ofis Spaces,Lease Deed,CAM charges not given.\n 3 Month shall be the business rent free period i.e. on feb 2024,1557900,18694800,CRE,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 1,5,Outscale Partners India Private Limited,100.0,Furnished,57.7,58.0,55.0,69.0,27000,18630,2022-01,2024-12,2031-10,36 months,2025-07,6.0,,12,Fitted Out,Commercial & Professional Services,New,Vatika Limited,Ritu Gupta,Lease Deed,Additional Rent Free Period :- 7 Months And 9 Days As Per Annexure C - Clause 10.\n Cam Charges And Payee Not Given.,1557900,18694800,CRE,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 1,6,Xerox India + 3 more,100,Multi-tenant,70.9,69.7,70.9,70.9,27000,18630,2024-07,2027-04,2027-04,-,,6.0,,,Fitted Out,IT/ITeS,Renewal,Vatika Limited,Ritu Gupta,Lease Deed,Cam charges not given.\n Lessee Shall Terminate This Agreement Any Time During The Lease Period By Giving 3 Months Prior Notice To Lessor.\n The liability of the Lessee towards property tax shall be limited to 5% of its annual rental of the Demised Premises under this lease and any excess tax liability over it shall be borne by the Licensor,1914300,22971600,CRE,,Sales team CSV marked Vacant — CREMatrix shows active Xerox India lease expiring 2027-04. Data corrected from CREMatrix.,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 1,7,Vacant,0,Vacant,59.1,,,,27000,18630,2022-01,2024-12,2019-10,36 months,,6.0,,,Fitted Out,,,Vatika Limited,Gautam Bhalla,Lease Deed,Lessee Can Terminate This Agreement At Any Time By Giving 3 Months Notice To The Lessor.\n Cam Charges Not Given.,0,0,CRE,Lease expired 2019-10 (CRE Matrix),,true,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 1,8,Regi India Cosmetics + 2 more,100,Multi-tenant,58.0,55.7,58.0,66.7,27000,18625,2021-08,2026-07,2026-07,-,2025-07,6.0,,24,Fitted Out,Consumer Discretionary,New,Vatika Limited,Shyam Gupta,Lease Deed,Additional Rent Free Period :- \n 1st July,1566000,18792000,CRE,,Sales team CSV marked Vacant — CREMatrix shows active Regi India Cosmetics lease expiring 2026-07. Data corrected from CREMatrix.,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,0,Mckinsey & Company,100.0,Furnished,,,,,26900,18830,,,,,,,,,Fitted Out,,,,,,,0,0,Sales Team,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,1,Mohar Organics Private Limited + 1 more,100.0,Multi-tenant,69.0,73.4,69.0,83.5,26900,18561,,,2028-03,,,,10.0,24,Fitted Out,Health Care,Renewal,Multiple (2 owners),Asha Sabikhi (319J),Lease Deed,Both Parties May Terminate This Agreement Any Time During The Lease Period By Giving 3 Months Prior Written Notice To Other Party.\n Cam Charges Not Given.,1856100,22273200,CRE,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
