Building,Floor,Tenant,Occupancy (%),Status,Rent (₹/sqft),Effective Rent,Starting Rent,Lease Expiry Rent,Area (sqft),Carpet Area,Lease Start,Lease End,Lease Expiry Date,Lock-in Period,Lock-in End,Security Deposit (months),Rent Escalation (%),Escalation Period (months),Property Condition,Sector,Deal Type,Landlord,Landlord Contact,Agreement Type,Deal Memo,Monthly Revenue,Annual Revenue,Data Source,Vacancy Reason,Data Conflict,Rent Estimated,Building Grade,Building CAM,Building Escalation,Building Power,Building Parking,Building Efficiency,Building Developer,Building Category,Micro Market
Tower A,0,Sunrise Mentors Pvt. Ltd + 3 more,100.0,Multi-tenant,,,,,53000,37100,2022-01,2024-12,2024-12,36 months,,6.0,,,Fitted Out,,,,,,,0,0,Sales Team,Lease expired 2024-12 (Sales Team CSV),,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower A,1,Planet Spark + 1 more,100.0,Multi-tenant,57.7,77.2,67.5,89.3,53000,42395,2022-01,2024-12,2032-06,36 months,2026-06,6.0,15.0,36,Bare Shell,Commercial & Professional Services,New,Multiple (4 owners),Dharam Bir Gandhi (781F),Lease Deed,,3058100,36697200,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower A,2,Adda Education + 1 more,100.0,Multi-tenant,77.2,76.6,77.2,88.8,53000,42400,,,2027-07,,,,15.0,40,Fitted Out,Others,New,Multiple (15 owners),Gurmeet Singh Makhija (408E),Lease Deed,No Lock In - At Any Time Licensee Can Terminate The Agreement By Giving 3 Months Written Notice To The Licensor.\n CAM Charges Not Given.\n Rent escalation dates taken as per lease id - 130159 as annexure B was missing in this agreement,4091600,49099200,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower A,3,Regus Coworking + 3 more,100,Multi-tenant,57.7,82.0,70.0,100.0,53000,42400,2022-01,2024-12,2031-12,36 months,2028-12,6.0,19.0,24,Warm Shell,Co-Working,New,Multiple (10 owners),Naresh Goyal (500C),Lease Deed,Other Lessor :- Kamlesh Kumar,3058100,36697200,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower A,4,Gunnebo Entrance Control India + 7 more,100,Multi-tenant,90.0,89.0,90.0,90.0,53000,42400,2024-11,2027-11,2027-11,-,2027-11,6.0,12.0,36,Fitted Out,,,Multiple (7 owners),Ushi Dhawan (512N),Lease Deed,Cam Deposit Is Mentioned In Other Deposit.,4770000,57240000,CRE,,Sales team CSV marked Vacant — CREMatrix shows active Gunnebo Entrance Control India lease expiring 2027-11. Data corrected from CREMatrix. | Sales team CSV marked Vacant — CREMatrix shows active Gunnebo Entrance Control India lease expiring 2027-11. Data corrected from CREMatrix. | Sales team CSV marked Vacant — CREMatrix shows active Gunnebo Entrance Control India lease expiring 2027-11. Data corrected from CREMatrix.,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower A,5,Park Your Car App + 1 more,100.0,Multi-tenant,57.7,92.1,80.0,105.8,53000,42400,2022-01,2024-12,2033-09,36 months,2027-09,6.0,15.0,40,Fitted Out,Co-Working,New,Multiple (9 owners),Seerat Cherry Sandhu (208Q),Lease Deed,Cam Charges is not given.,3058100,36697200,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower A,6,HDFC Bank,100.0,Furnished,69.0,81.3,69.0,91.3,53000,45008,,,2033-01,12 months,2025-01,,15.0,36,Fitted Out,BFSI,New,Relan Estates,Rajiv Kumar Relan,Lease Deed,Other Lessors :- Sarna International,3657000,43884000,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower A,7,Adda Education,100.0,Furnished,82.0,83.2,82.0,94.3,53000,42400,,,2028-04,50 months,2027-06,,15.0,36,Fitted Out,Others,New,Multiple (4 owners),Relan Estates,Lease Deed,Advance Lease Rent Will Be Adjusted On The Monthly Lease Rent Of 3rd,4346000,52152000,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower B,1,SNAPMINT CREDIT ADVISORY PRIVATE + 6 more,100,Multi-tenant,57.7,86.2,83.0,91.5,25777,18817,2022-01,2024-12,2028-02,36 months,2028-02,6.0,5.0,12,Fitted Out,,New,Multiple (2 owners),Sumit Gupta (140P),Lease Deed,Cam details not given.,1487333,17847995,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower B,2,Religent Infotech + 4 more,100,Multi-tenant,87.0,86.1,87.0,87.0,25777,18815,2024-09,2029-09,2029-09,-,2029-09,6.0,12.0,60,Fitted Out,,,Multiple (6 owners),Techno Knits,Lease Deed,Cam Security Deposit Mentioned In Other Deposit.,2242599,26911188,CRE,,Sales team CSV marked Vacant — CREMatrix shows active Religent Infotech lease expiring 2029-09. Data corrected from CREMatrix. | Sales team CSV marked Vacant — CREMatrix shows active Religent Infotech lease expiring 2029-09. Data corrected from CREMatrix.,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower B,3,Akasa Coworking,100.0,Furnished,86.0,96.7,86.0,113.7,25777,18817,,,2028-02,60 months,2025-02,,15.0,36,Warm Shell,Co-Working,New,Realbiz Realty,Paramjit Singh,Leave and License,,2216822,26601864,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower B,4,Majid Al Futtaim Hypermarkets Private Limited + 1 more,100.0,Multi-tenant,77.0,81.1,77.0,88.6,25777,18817,,,2027-12,36 months,2025-12,,15.0,36,Fitted Out,Automobiles,Renewal,Multiple (10 owners),Ushi Dhawan (512N),Lease Deed,,1984829,23817948,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower B,5,Office pass,100.0,Furnished,57.7,69.5,74.5,74.5,25777,18815,2022-01,2024-12,2028-01,36 months,2025-12,6.0,,,Fitted Out,IT/ITeS,New,Multiple (4 owners),Sunita Jain (412G),Lease Deed,Cam charges and Security deposit not mentioned\n Actual rent not given (Annexure missing)- Rent calculated on average rent,1487333,17847995,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
